scenario_source,scenario,sector,region,year,emission_factor,emission_factor_unit
etp_2017,b2ds,cement,global,2019,0.5457326500909091,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2020,0.538350296909091,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2021,0.5309679437272727,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2022,0.5235855905454546,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2023,0.5162032373636364,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2024,0.5088208841818183,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2025,0.501438531,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2026,0.4872295956,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2027,0.4730206602,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2028,0.45881172480000004,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2029,0.44460278940000003,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2030,0.430393854,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2031,0.4164531738,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2032,0.4025124936,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2033,0.3885718134,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2034,0.3746311332,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2035,0.360690453,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2036,0.3450989108,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2037,0.3295073686,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2038,0.3139158264,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2039,0.2983242842,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2040,0.282732742,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2041,0.2747781654,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2042,0.2668235888,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2043,0.25886901219999997,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2044,0.2509144356,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2045,0.242959859,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2046,0.2281611218,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2047,0.2133623846,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2048,0.1985636474,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2049,0.1837649102,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2050,0.168966173,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2051,0.1635538888,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2052,0.15814160459999999,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2053,0.1527293204,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2054,0.1473170362,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2055,0.141904752,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2056,0.1322962302,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2057,0.1226877084,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2058,0.11307918659999999,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2059,0.1034706648,tonnes of CO2 per tonne of cement
etp_2017,b2ds,cement,global,2060,0.093862143,tonnes of CO2 per tonne of cement
etp_2017,b2ds,steel,global,2019,1.4990286578181817,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2020,1.4373146971818183,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2021,1.3756007365454546,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2022,1.3138867759090909,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2023,1.2521728152727274,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2024,1.1904588546363637,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2025,1.128744894,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2026,1.0779037626,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2027,1.0270626312,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2028,0.9762214998000001,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2029,0.9253803684,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2030,0.874539237,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2031,0.8263920148,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2032,0.7782447926,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2033,0.7300975704,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2034,0.6819503482,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2035,0.633803126,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2036,0.606329865,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2037,0.5788566039999999,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2038,0.551383343,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2039,0.523910082,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2040,0.496436821,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2041,0.4731897032,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2042,0.4499425854,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2043,0.4266954676,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2044,0.4034483498,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2045,0.380201232,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2046,0.356271185,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2047,0.332341138,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2048,0.308411091,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2049,0.284481044,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2050,0.260550997,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2051,0.2458533876,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2052,0.2311557782,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2053,0.21645816880000002,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2054,0.2017605594,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2055,0.18706295,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2056,0.16710805280000002,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2057,0.1471531556,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2058,0.12719825839999999,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2059,0.1072433612,tonnes of CO2 per tonne of steel
etp_2017,b2ds,steel,global,2060,0.087288464,tonnes of CO2 per tonne of steel
